record_id,submitted_at,channel,user_email,plan_tier,region,message,rating,resolved,assigned_to
FB-2170,24 Jun 2026,chat,greg.rossi@fig.studio,free,LATAM,Need a GST invoice with our company details on it.,2,YES,
FB-2334,2026-05-01 23:35:00,phone,dev.alvarez@brightlab.io,free,latam,Special characters in names show up as question marks. Notifications fire twice for every comment.,two,1,alex.r
FB-2288,2026-02-22T05:55:00Z,Chat,amara.dubois at acmeco.com,Enterprise,,Dashboard takes 30+ seconds to load every morning. Search is unusably slow since the last update.,2,0,jo.m
FB-2250,05/04/2026,chat,tomas.chen@northfield.org,PRO,NA,No idea what half these settings do. Docs are thin.,3,0,alex.r
FB-2289,2026-03-09T17:49:00Z,Email,hannah.chen@kestrel.dev,PRO,NA,Deleted item reappears after refresh.,2,no,priya.k
FB-2127,12 Jun 2026,support-form,fatima.sharma@opalhealth.com,Enterprise,APAC,Honestly the best tool we've adopted this year. Team loves it.,five,YES,jo.m
FB-2112,02 Mar 2026,in-app,omar.bauer@zenith-partners.com,free,IN,Support got back to me in 10 minutes. Impressive.,4,1,alex.r
FB-2259,12/02/2026,,priya.chen@zenith-partners.com,Enterprise,NA,Third outage this quarter. Leadership is asking questions.,1,no,jo.m
FB-2018,11 Apr 2026,Chat,kenji.chen@opalhealth.com,enterprise,North America,Page keeps crashing on Safari specifically.,2,0,priya.k
FB-2087,05 Jul 2026,support-form,,pro,APAC,Can't find where to download past invoices for accounting.,2,no,
FB-2287,16/06/2026,in-app,kenji.okoro@meridiangroup.co,Pro,LATAM,If the export issue isn't fixed by renewal we're moving on.,,FALSE,
FB-2008,26/06/2026,in_app,sam.patel@vantage.works,pro,North America,Need a GST invoice with our company details on it.,3,1,alex.r
FB-2208,1782619560,in_app,rahul.chen@acmeco.com,FREE,apac,Password reset link expired before it even arrived.,1,TRUE,alex.r
FB-2263,07-04-2026 13:43,,viktor.sharma@brightlab.io,free,India,Need role-based permissions before we can roll this out wider.,2,No,jo.m
FB-2164,28 Mar 2026,Email,mei.dubois@tidewater.io,Enterprise,apac,Can't find where to download past invoices for accounting.,1/5,No,
FB-2092,04-28-2026 09:46,Email,priya.alvarez@northfield.org,Enterprise,apac,Would be great to schedule reports weekly instead of manual.,4,,priya.k
FB-2216,2026-04-03 02:42:00,In-App,yuki.bauer@northfield.org,enterprise,,,1,No,ALEX.R
FB-2356,2026-07-22T12:22:00Z,,ines.sharma@vantage.works,pro,EMEA,Search is unusably slow since the last update.,2,yes,
